Color,Timeratio,TimeInt,MoveNumber,eva,Termination,Piece
0,2.702702703,11,13,-9.38,1,Knight
0,1.768172888,9,12,12.63,0,Bishop
1,0.914076782,5,10,13.7,0,King
1,0.692041522,2,39,-12.92,0,Knight
0,7.52688172,21,26,15.24,0,Bishop
1,2.141327623,10,23,9.31,0,Rook
1,26.92307692,21,46,-10.45,1,Queen
0,0.910746812,5,13,8.49,0,Bishop
0,0.930232558,2,33,8.97,0,Rook
1,0.278551532,1,18,-18.32,0,Queen
1,1.120448179,4,27,-15.38,0,Queen
0,0.943396226,3,36,9.82,0,Knight
1,0.97323601,4,32,-4.5,0,Rook
1,4.166666667,19,25,-11.84,0,Pawn
0,6.840390879,21,34,12.79,0,Rook
0,1.567398119,5,31,11.54,0,Pawn
0,1.792828685,9,19,-7.21,0,King
0,3.076923077,2,41,7.07,0,Bishop
0,2.153846154,7,30,-11.95,0,Queen
1,0.455580866,2,32,-6.69,1,Rook
1,5.952380952,5,26,8.21,0,Bishop
1,0.938086304,5,11,9.48,0,Pawn
1,1.246882793,5,30,-9.97,0,Knight
1,2.304147465,5,54,-11.75,0,Pawn
0,1.654846336,7,28,-13.3,0,Rook
1,23.52941176,32,34,-11.92,0,Rook
1,1.102941176,3,27,-6.78,0,Rook
1,1.063829787,6,8,-8,0,Rook
0,3.164556962,10,30,10.36,0,Rook
0,3.333333333,1,52,0,0,Queen
0,1.278772379,5,22,17.29,0,Knight
0,0.705882353,3,27,10.94,0,Rook
0,0.677966102,2,49,-1.21,0,Rook
1,0.374531835,2,20,-9.67,0,Bishop
0,0.534759358,3,20,-12.4,0,Bishop
0,4.464285714,20,22,2.04,0,Knight
0,4.458598726,7,31,5.65,0,Rook
1,0.649350649,1,75,1.03,1,King
0,0.399201597,2,20,14.28,0,Knight
0,10.92436975,52,20,-9.59,0,Queen
1,2.01793722,9,22,-17.88,0,Queen
1,20,46,21,-8.24,0,Queen
1,0.988142292,5,18,12.71,0,Rook
0,1.082251082,5,22,12.03,1,Bishop
0,0.711743772,2,27,8.67,0,Rook
0,8.778625954,23,27,-8.51,0,Knight
0,1.465201465,4,22,9.28,0,Knight
0,0.263157895,1,31,9.58,0,Queen
0,5.940594059,18,22,1.29,0,Queen
1,4.516129032,7,39,-10.95,0,Rook
0,0.318471338,1,38,9.36,0,King
0,0.422832981,2,21,5.72,1,Rook
1,0.359066427,2,8,-7.86,0,Bishop
1,2.797202797,4,40,-5.67,1,Rook
0,0.826446281,1,34,-9.65,1,Pawn
1,0.365630713,2,6,0,1,Bishop
1,4.347826087,1,48,-0.07,1,King
0,1.724137931,2,48,-1.66,0,King
1,1.489361702,7,16,-9,0,Rook
0,0.421940928,2,20,10,0,Queen
1,1.582278481,5,23,-11.81,0,Queen
1,13.63636364,3,30,-17.82,1,Rook
1,1.157407407,5,22,19.67,0,Pawn
0,0.431034483,2,31,12.69,0,Knight
0,0.471698113,1,43,64.64,0,Pawn
0,3.759398496,10,29,9.15,0,Pawn
1,1,3,28,-7.75,0,Pawn
0,1.915708812,5,26,8.54,0,Bishop
0,0.72815534,3,31,16.84,0,Queen
1,5.027932961,18,25,-14.92,0,Pawn
1,0.604229607,2,44,-21.21,0,Queen
1,9.302325581,28,17,-7.98,0,Knight
0,1.526717557,2,37,8.38,0,Pawn
1,2.608695652,3,44,10.9,1,Queen
1,16.99346405,26,33,-6.34,0,Pawn
0,0.231481481,1,26,9.53,0,Bishop
1,40,2,46,-7.23,1,King
1,1.750972763,9,22,-7,0,Bishop
1,1.761252446,9,25,-15.54,0,Pawn
0,0.414078675,2,24,6.85,0,Bishop
1,14.08450704,30,29,-8.34,0,Queen
1,2.752293578,12,24,-8.55,0,Queen
1,2.179836512,8,21,-14.73,0,Pawn
1,5.980861244,25,19,0.92,1,Pawn
1,1.597444089,5,40,0.31,0,Knight
0,0.806451613,4,19,14.69,0,Pawn
0,0.602409639,1,36,18.35,0,Rook
1,14.28571429,15,75,0,1,Queen
0,0.826446281,3,22,11.97,0,Bishop
0,0.357781753,2,12,20.05,0,Knight
0,0.738916256,3,22,11.61,0,Pawn
1,0.91954023,4,14,-10.77,0,Bishop
0,0.826446281,1,59,62.17,1,King
1,1.324503311,2,44,0,0,Rook
0,0.877192982,2,44,10.3,0,Knight
1,0.711743772,2,36,-11.84,0,King
1,0.743494424,2,38,0,0,Queen
0,2.43902439,12,15,0.98,0,Knight
0,1.098901099,3,47,9.94,0,Pawn
1,1.408450704,5,34,-7.38,0,Pawn
0,3.249097473,9,41,-0.61,0,King
0,5.825242718,12,32,9.69,0,Rook
1,1.98019802,8,22,0.23,1,Rook
0,4.395604396,8,30,8.77,0,Knight
0,0.742115028,4,15,0.95,1,Bishop
1,2.131438721,12,7,0.35,1,Pawn
0,7.086614173,18,27,6.69,0,Bishop
1,2.401746725,11,24,-10.67,0,Bishop
0,0.194174757,1,22,14.15,1,Rook
1,0.811359026,4,26,-6.51,0,Knight
1,3.325415677,14,21,8.62,1,Rook
1,1.435406699,6,32,-0.48,0,Bishop
