Timeratio,evadiff
0,0.08
0.001808318,0
0,0.07
0.001897533,0.13
0.001964637,0.13
0.002173913,0.26
0,0.01
0,0.17
0.001677852,0.21
0.001683502,0.74
0.001703578,0.31
0,0.3
0,0
0,0
0.001834862,3.03
0.001988072,0.19
0.001669449,0.14
0.001672241,0.22
0,0.07
0.001683502,0.15
0.001893939,0.37
0.001669449,0.32
0.001677852,0.36
0.002066116,2.74
0.002087683,0.43
0.001669449,0.05
0,0.01
0.001890359,0.2
0.002336449,1.88
0,0.19
0,0.04
0.001680672,0.1
0.001669449,1.09
0.001672241,0.1
0,0.12
0.001672241,0.15
0.001980198,0.06
0.001669449,0.54
0,0.15
0.001937984,0.11
0,0.17
0,0.22
0.001669449,0.13
0.002057613,0
0.002061856,0
0.001709402,0.08
0.001745201,0.26
0.001760563,0.72
0.001841621,0
0.001801802,0.1
0.001886792,0.26
0.001675042,0.2
0.001703578,0.19
0.001709402,0.06
0,0.14
0.001788909,0.15
0.001834862,0.11
0.001923077,0.28
0,0.09
0,0.01
0.001669449,0.05
0.001677852,2.46
0,0.74
0.001953125,0.48
0.001949318,1.94
0,0
0,0
0,0
0,0
0,0
0.001675042,0.02
0.002083333,0.01
0,0.04
0,0.08
0,0.63
0,0.3
0.001669449,0.17
0,6.2
0,0.07
0.002070393,0.26
0,0
0.001675042,0
0.001754386,0.29
0,0.17
0.001669449,0.03
0.001675042,0.31
0,0.17
0,0
0.001669449,0
0.001677852,0.14
0,0.46
0,0.02
0.001960784,1.61
0.00204499,0.2
0,0.32
0,3.92
0,0.03
0,0.08
0,0.12
0,0.58
0,0.51
0,1.01
0,2.93
0.001669449,0.09
0.001715266,0.08
0,1.05
0,0.37
0,0.36
0.001669449,0.09
0.001851852,0.03
0.002257336,0.03
0.001683502,0.21
0,0.24
0.001736111,0.2
0.001872659,2.44
0.002232143,0.5
0.001669449,0.38
0.001686341,0.12
0,0.06
0.001757469,0.83
0,0
0.001680672,0.04
0,12.35
0,1.22
0,0.33
0,0.15
0.001669449,0.42
0.001669449,0.05
0.001672241,0.05
0.001677852,0.1
0.002,1.33
0.002197802,0
0,0
0.002212389,0
0.002217295,0
0.002222222,0
0,0
0.001862197,0
0.001733102,0
0.002347418,0.05
0.001683502,0.04
0.001703578,0.01
0.002386635,0.12
0,0
0,0
0.001669449,0.13
0,0.13
0.001689189,0.15
0,0.1
0.0025,6.68
0,0.47
0.001669449,0.18
0,0.08
0,0.14
0.001745201,0.25
0.00212766,3.56
0.001669449,0.27
0.001669449,0.01
0,3.42
0.001669449,0.32
0.002212389,0.16
0.001782531,0.83
0.001745201,0.05
0,0.08
0.001808318,0
0,0.07
0.001897533,0.13
0.001964637,0.13
0.002173913,0.26
0,0.01
0,0.17
0.001677852,0.21
0.001683502,0.74
0.001703578,0.31
0,0.3
0,0
0,0
0.001834862,3.03
0.001988072,0.19
0.001669449,0.14
0.001672241,0.22
0,0.07
0.001683502,0.15
0.001893939,0.37
0.001669449,0.32
0.001677852,0.36
0.002066116,2.74
0.002087683,0.43
0.001669449,0.05
0,0.01
0.001890359,0.2
0.002336449,1.88
0,0.19
0,0.04
0.001680672,0.1
0.001669449,1.09
0.001672241,0.1
0,0.12
0.001672241,0.15
0.001980198,0.06
0.001669449,0.54
0,0.15
0.001937984,0.11
0,0.17
0,0.22
0.001669449,0.13
0.002057613,0
0.002061856,0
0.001709402,0.08
0.001745201,0.26
0.001760563,0.72
0.001841621,0
0.001801802,0.1
0.001886792,0.26
0.001675042,0.2
0.001703578,0.19
0.001709402,0.06
0,0.14
0.001788909,0.15
0.001834862,0.11
0.001923077,0.28
0,0.09
0,0.01
0.001669449,0.05
0.001677852,2.46
0,0.74
0.001953125,0.48
0.001949318,1.94
0,0
0,0
0,0
0,0
0,0
0.001675042,0.02
0.002083333,0.01
0,0.04
0,0.08
0,0.63
0,0.3
0.001669449,0.17
0,6.2
0,0.07
0.002070393,0.26
0,0
0.001675042,0
0.001754386,0.29
0,0.17
0.001669449,0.03
0.001675042,0.31
0,0.17
0,0
0.001669449,0
0.001677852,0.14
0,0.46
0,0.02
0.001960784,1.61
0.00204499,0.2
0,0.32
0,3.92
0,0.03
0,0.08
0,0.12
0,0.58
0,0.51
0,1.01
0,2.93
0.001669449,0.09
0.001715266,0.08
0,1.05
0,0.37
0,0.36
0.001669449,0.09
0.001851852,0.03
0.002257336,0.03
0.001683502,0.21
0,0.24
0.001736111,0.2
0.001872659,2.44
0.002232143,0.5
0.001669449,0.38
0.001686341,0.12
0,0.06
0.001757469,0.83
0,0
0.001680672,0.04
0,12.35
0,1.22
0,0.33
0,0.15
0.001669449,0.42
0.001669449,0.05
0.001672241,0.05
0.001677852,0.1
0.002,1.33
0.002197802,0
0,0
0.002212389,0
0.002217295,0
0.002222222,0
0,0
0.001862197,0
0.001733102,0
0.002347418,0.05
0.001683502,0.04
0.001703578,0.01
0.002386635,0.12
0,0
0,0
0.001669449,0.13
0,0.13
0.001689189,0.15
0,0.1
0.0025,6.68
0,0.47
0.001669449,0.18
0,0.08
0,0.14
0.001745201,0.25
0.00212766,3.56
0.001669449,0.27
0.001669449,0.01
0,3.42
0.001669449,0.32
0.002212389,0.16
0.001782531,0.83
0.001745201,0.05
0.001675042,0.34
0.002040816,0.01
0.001818182,0.5
0.001821494,1.12
0.00209205,3.25
0.002155172,0.05
0.002159827,0.25
0.002164502,1.68
0.002169197,0
0.00170068,0.38
0.001712329,0
0.001669449,0.05
0.001672241,0.01
0.001779359,0.26
0.001937984,0.01
0.001956947,0
0,0.32
0,0.1
0.001669449,0.27
0,0.8
0.001736111,0.27
0,0.27
0,0.21
0.001672241,0.42
0.001675042,0.83
0,0
0.001669449,0.05
0.001669449,0.04
0.001672241,0.1
0.001675042,0.03
0.001692047,0.12
0.001669449,0.48
0.001677852,0.11
0.001692047,0.35
0.001675042,0.1
0.001724138,0.12
0.001811594,0.39
0.002392344,0.17
0.001669449,0.82
0.001727116,0.03
0,0.03
0.001736111,1.04
0.001824818,0.01
0.001828154,0.05
0.001745201,0.41
0.001754386,0.77
0.002164502,0.18
0.001718213,0
0.001788909,0.3
0,0
0.001751313,0.05
0,0.01
