Timeratio,TimeInt,Timet,evadiff
0,0,379,0.08
0.001808318,1,553,0
0,0,560,0.07
0.001897533,1,527,0.13
0.001964637,1,509,0.13
0.002173913,1,460,0.26
0,0,409,0.01
0,0,297,0.17
0.001677852,1,596,0.21
0.001683502,1,594,0.74
0.001703578,1,587,0.31
0,0,293,0.3
0,0,34,0
0,0,59,0
0.001834862,1,545,3.03
0.001988072,1,503,0.19
0.001669449,1,599,0.14
0.001672241,1,598,0.22
0,0,595,0.07
0.001683502,1,594,0.15
0.001893939,1,528,0.37
0.001669449,1,599,0.32
0.001677852,1,596,0.36
0.002066116,1,484,2.74
0.002087683,1,479,0.43
0.001669449,1,599,0.05
0,0,553,0.01
0.001890359,1,529,0.2
0.002336449,1,428,1.88
0,0,410,0.19
0,0,600,0.04
0.001680672,1,595,0.1
0.001669449,1,599,1.09
0.001672241,1,598,0.1
0,0,556,0.12
0.001672241,1,598,0.15
0.001980198,1,505,0.06
0.001669449,1,599,0.54
0,0,500,0.15
0.001937984,1,516,0.11
0,0,491,0.17
0,0,452,0.22
0.001669449,1,599,0.13
0.002057613,1,486,0
0.002061856,1,485,0
0.001709402,1,585,0.08
0.001745201,1,573,0.26
0.001760563,1,568,0.72
0.001841621,1,543,0
0.001801802,1,555,0.1
0.001886792,1,530,0.26
0.001675042,1,597,0.2
0.001703578,1,587,0.19
0.001709402,1,585,0.06
0,0,575,0.14
0.001788909,1,559,0.15
0.001834862,1,545,0.11
0.001923077,1,520,0.28
0,0,559,0.09
0,0,450,0.01
0.001669449,1,599,0.05
0.001677852,1,596,2.46
0,0,595,0.74
0.001953125,1,512,0.48
0.001949318,1,513,1.94
0,0,212,0
0,0,212,0
0,0,212,0
0,0,212,0
0,0,212,0
0.001675042,1,597,0.02
0.002083333,1,480,0.01
0,0,351,0.04
0,0,281,0.08
0,0,325,0.63
0,0,600,0.3
0.001669449,1,599,0.17
0,0,538,6.2
0,0,329,0.07
0.002070393,1,483,0.26
0,0,467,0
0.001675042,1,597,0
0.001754386,1,570,0.29
0,0,324,0.17
0.001669449,1,599,0.03
0.001675042,1,597,0.31
0,0,600,0.17
0,0,59,0
0.001669449,1,599,0
0.001677852,1,596,0.14
0,0,451,0.46
0,0,596,0.02
0.001960784,1,510,1.61
0.00204499,1,489,0.2
0,0,300,0.32
0,0,136,3.92
0,0,136,0.03
0,0,116,0.08
0,0,17,0.12
0,0,7,0.58
0,0,6,0.51
0,0,3,1.01
0,0,3,2.93
0.001669449,1,599,0.09
0.001715266,1,583,0.08
0,0,600,1.05
0,0,600,0.37
0,0,526,0.36
0.001669449,1,599,0.09
0.001851852,1,540,0.03
0.002257336,1,443,0.03
0.001683502,1,594,0.21
0,0,594,0.24
0.001736111,1,576,0.2
0.001872659,1,534,2.44
0.002232143,1,448,0.5
0.001669449,1,599,0.38
0.001686341,1,593,0.12
0,0,588,0.06
0.001757469,1,569,0.83
0,0,600,0
0.001680672,1,595,0.04
0,0,78,12.35
0,0,12,1.22
0,0,5,0.33
0,0,4,0.15
0.001669449,1,599,0.42
0.001669449,1,599,0.05
0.001672241,1,598,0.05
0.001677852,1,596,0.1
0.002,1,500,1.33
0.002197802,1,455,0
0,0,455,0
0.002212389,1,452,0
0.002217295,1,451,0
0.002222222,1,450,0
0,0,308,0
0.001862197,1,537,0
0.001733102,1,577,0
0.002347418,1,426,0.05
0.001683502,1,594,0.04
0.001703578,1,587,0.01
0.002386635,1,419,0.12
0,0,319,0
0,0,319,0
0.001669449,1,599,0.13
0,0,599,0.13
0.001689189,1,592,0.15
0,0,591,0.1
0.0025,1,400,6.68
0,0,600,0.47
0.001669449,1,599,0.18
0,0,599,0.08
0,0,599,0.14
0.001745201,1,573,0.25
0.00212766,1,470,3.56
0.001669449,1,599,0.27
0.001669449,1,599,0.01
0,0,342,3.42
0.001669449,1,599,0.32
0.002212389,1,452,0.16
0.001782531,1,561,0.83
0.001745201,1,573,0.05
0,0,379,0.08
0.001808318,1,553,0
0,0,560,0.07
0.001897533,1,527,0.13
0.001964637,1,509,0.13
0.002173913,1,460,0.26
0,0,409,0.01
0,0,297,0.17
0.001677852,1,596,0.21
0.001683502,1,594,0.74
0.001703578,1,587,0.31
0,0,293,0.3
0,0,34,0
0,0,59,0
0.001834862,1,545,3.03
0.001988072,1,503,0.19
0.001669449,1,599,0.14
0.001672241,1,598,0.22
0,0,595,0.07
0.001683502,1,594,0.15
0.001893939,1,528,0.37
0.001669449,1,599,0.32
0.001677852,1,596,0.36
0.002066116,1,484,2.74
0.002087683,1,479,0.43
0.001669449,1,599,0.05
0,0,553,0.01
0.001890359,1,529,0.2
0.002336449,1,428,1.88
0,0,410,0.19
0,0,600,0.04
0.001680672,1,595,0.1
0.001669449,1,599,1.09
0.001672241,1,598,0.1
0,0,556,0.12
0.001672241,1,598,0.15
0.001980198,1,505,0.06
0.001669449,1,599,0.54
0,0,500,0.15
0.001937984,1,516,0.11
0,0,491,0.17
0,0,452,0.22
0.001669449,1,599,0.13
0.002057613,1,486,0
0.002061856,1,485,0
0.001709402,1,585,0.08
0.001745201,1,573,0.26
0.001760563,1,568,0.72
0.001841621,1,543,0
0.001801802,1,555,0.1
0.001886792,1,530,0.26
0.001675042,1,597,0.2
0.001703578,1,587,0.19
0.001709402,1,585,0.06
0,0,575,0.14
0.001788909,1,559,0.15
0.001834862,1,545,0.11
0.001923077,1,520,0.28
0,0,559,0.09
0,0,450,0.01
0.001669449,1,599,0.05
0.001677852,1,596,2.46
0,0,595,0.74
0.001953125,1,512,0.48
0.001949318,1,513,1.94
0,0,212,0
0,0,212,0
0,0,212,0
0,0,212,0
0,0,212,0
0.001675042,1,597,0.02
0.002083333,1,480,0.01
0,0,351,0.04
0,0,281,0.08
0,0,325,0.63
0,0,600,0.3
0.001669449,1,599,0.17
0,0,538,6.2
0,0,329,0.07
0.002070393,1,483,0.26
0,0,467,0
0.001675042,1,597,0
0.001754386,1,570,0.29
0,0,324,0.17
0.001669449,1,599,0.03
0.001675042,1,597,0.31
0,0,600,0.17
0,0,59,0
0.001669449,1,599,0
0.001677852,1,596,0.14
0,0,451,0.46
0,0,596,0.02
0.001960784,1,510,1.61
0.00204499,1,489,0.2
0,0,300,0.32
0,0,136,3.92
0,0,136,0.03
0,0,116,0.08
0,0,17,0.12
0,0,7,0.58
0,0,6,0.51
0,0,3,1.01
0,0,3,2.93
0.001669449,1,599,0.09
0.001715266,1,583,0.08
0,0,600,1.05
0,0,600,0.37
0,0,526,0.36
0.001669449,1,599,0.09
0.001851852,1,540,0.03
0.002257336,1,443,0.03
0.001683502,1,594,0.21
0,0,594,0.24
0.001736111,1,576,0.2
0.001872659,1,534,2.44
0.002232143,1,448,0.5
0.001669449,1,599,0.38
0.001686341,1,593,0.12
0,0,588,0.06
0.001757469,1,569,0.83
0,0,600,0
0.001680672,1,595,0.04
0,0,78,12.35
0,0,12,1.22
0,0,5,0.33
0,0,4,0.15
0.001669449,1,599,0.42
0.001669449,1,599,0.05
0.001672241,1,598,0.05
0.001677852,1,596,0.1
0.002,1,500,1.33
0.002197802,1,455,0
0,0,455,0
0.002212389,1,452,0
0.002217295,1,451,0
0.002222222,1,450,0
0,0,308,0
0.001862197,1,537,0
0.001733102,1,577,0
0.002347418,1,426,0.05
0.001683502,1,594,0.04
0.001703578,1,587,0.01
0.002386635,1,419,0.12
0,0,319,0
0,0,319,0
0.001669449,1,599,0.13
0,0,599,0.13
0.001689189,1,592,0.15
0,0,591,0.1
0.0025,1,400,6.68
0,0,600,0.47
0.001669449,1,599,0.18
0,0,599,0.08
0,0,599,0.14
0.001745201,1,573,0.25
0.00212766,1,470,3.56
0.001669449,1,599,0.27
0.001669449,1,599,0.01
0,0,342,3.42
0.001669449,1,599,0.32
0.002212389,1,452,0.16
0.001782531,1,561,0.83
0.001745201,1,573,0.05
0.001675042,1,597,0.34
0.002040816,1,490,0.01
0.001818182,1,550,0.5
0.001821494,1,549,1.12
0.00209205,1,478,3.25
0.002155172,1,464,0.05
0.002159827,1,463,0.25
0.002164502,1,462,1.68
0.002169197,1,461,0
0.00170068,1,588,0.38
0.001712329,1,584,0
0.001669449,1,599,0.05
0.001672241,1,598,0.01
0.001779359,1,562,0.26
0.001937984,1,516,0.01
0.001956947,1,511,0
0,0,600,0.32
0,0,600,0.1
0.001669449,1,599,0.27
0,0,599,0.8
0.001736111,1,576,0.27
0,0,529,0.27
0,0,600,0.21
0.001672241,1,598,0.42
0.001675042,1,597,0.83
0,0,39,0
0.001669449,1,599,0.05
0.001669449,1,599,0.04
0.001672241,1,598,0.1
0.001675042,1,597,0.03
0.001692047,1,591,0.12
0.001669449,1,599,0.48
0.001677852,1,596,0.11
0.001692047,1,591,0.35
0.001675042,1,597,0.1
0.001724138,1,580,0.12
0.001811594,1,552,0.39
0.002392344,1,418,0.17
0.001669449,1,599,0.82
0.001727116,1,579,0.03
0,0,581,0.03
0.001736111,1,576,1.04
0.001824818,1,548,0.01
0.001828154,1,547,0.05
0.001745201,1,573,0.41
0.001754386,1,570,0.77
0.002164502,1,462,0.18
0.001718213,1,582,0
0.001788909,1,559,0.3
0,0,70,0
0.001751313,1,571,0.05
0,0,415,0.01
0.001715266,1,583,1.04
0.001669449,1,599,0.65
0.001694915,1,590,0.03
0,0,66,0
0.001669449,1,599,0.6
0.001672241,1,598,0.03
0.001675042,1,597,0.54
0.001677852,1,596,0.24
0.00173913,1,575,0.15
0.001782531,1,561,2.49
0.001828154,1,547,0.15
0.001669449,1,599,0.39
0.001926782,1,519,0.01
0,0,283,0.13
0.001669449,1,599,0.05
0.001724138,1,580,0.14
0.001677852,1,596,0.48
0,0,75,0
0.001669449,1,599,0.03
0.001680672,1,595,0.2
0.001769912,1,565,0.07
0.002028398,1,493,0.08
0.002487562,1,402,0.53
0.001715266,1,583,0.15
0.001675042,1,597,0.08
0.001677852,1,596,0.03
0.001724138,1,580,0.13
0.001964637,1,509,0.08
0.001841621,1,543,0.18
0,0,597,0
0.001686341,1,593,0
0.001692047,1,591,0.08
0.002493766,1,401,0.23
0,0,257,0
0,0,141,0
0,0,598,0.03
0.001694915,1,590,0
0.001697793,1,589,0.38
0.001934236,1,517,0.03
0,0,595,0.21
0,0,595,0.27
0.001686341,1,593,0
0.001683502,1,594,0.94
0.001686341,1,593,0.27
0,0,563,0.3
0,0,513,0.09
0.002155172,1,464,0
0.001757469,1,569,0.09
0.002415459,1,414,0
0,0,414,0.64
0,0,66,0
0,0,52,0
0.001669449,1,599,0.05
0,0,347,0.48
0,0,329,0
0,0,284,0
